epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1608.61,1.2432,1.80733,1.59119,0.71919,0.77604,0.78186,0.50551,1.30669,1.28555,1.83085,0.000503132,0.000503132,0.000503132
42,1646.13,1.22975,1.75518,1.59601,0.68787,0.59307,0.54453,0.29671,1.73508,2.0646,2.29862,0.000494885,0.000494885,0.000494885
43,1684.18,1.22783,1.689,1.59387,0.69537,0.79827,0.74845,0.48958,1.36241,1.34548,1.84859,0.000486639,0.000486639,0.000486639
44,1721.72,1.18494,1.65547,1.537,0.84138,0.7623,0.79819,0.51222,1.33671,1.38937,1.78888,0.000478392,0.000478392,0.000478392
45,1759.79,1.19861,1.688,1.53558,0.73541,0.76968,0.75509,0.51774,1.30572,1.22488,1.79188,0.000470145,0.000470145,0.000470145
46,1797.33,1.25212,1.78016,1.60209,0.80922,0.7607,0.78378,0.51307,1.2544,1.40511,1.74602,0.000461898,0.000461898,0.000461898
47,1834.56,1.18573,1.67171,1.51778,0.76534,0.7805,0.81037,0.54192,1.26077,1.21505,1.76645,0.000453652,0.000453652,0.000453652
48,1872.93,1.2205,1.66904,1.59707,0.78987,0.76434,0.80519,0.53353,1.3458,1.22258,1.83382,0.000445405,0.000445405,0.000445405
49,1911.27,1.20173,1.68618,1.55114,0.77298,0.80211,0.80873,0.52561,1.26637,1.24525,1.73816,0.000437158,0.000437158,0.000437158
50,1949.52,1.12016,1.61713,1.49545,0.76815,0.71791,0.79114,0.53231,1.27081,1.22656,1.75636,0.000428912,0.000428912,0.000428912
51,1987.33,1.17424,1.61285,1.53983,0.79922,0.76518,0.79898,0.53942,1.30574,1.29895,1.78195,0.000420665,0.000420665,0.000420665
52,2025.51,1.1768,1.73305,1.51788,0.79935,0.74325,0.80841,0.54095,1.26039,1.23547,1.72796,0.000412418,0.000412418,0.000412418
53,2063.31,1.15395,1.63931,1.53576,0.79639,0.78119,0.80571,0.53641,1.24937,1.2326,1.74844,0.000404172,0.000404172,0.000404172
54,2101.66,1.17516,1.64223,1.55679,0.75486,0.79328,0.78755,0.52396,1.24592,1.27128,1.72006,0.000395925,0.000395925,0.000395925
55,2139.44,1.11072,1.54485,1.49192,0.82627,0.80898,0.81344,0.53747,1.26333,1.20196,1.75798,0.000387678,0.000387678,0.000387678
56,2177.37,1.16952,1.70336,1.52905,0.81107,0.8178,0.82818,0.5838,1.15972,1.12012,1.66,0.000379431,0.000379431,0.000379431
57,2216.04,1.09023,1.67758,1.49905,0.79282,0.80628,0.83158,0.55125,1.22763,1.22957,1.70619,0.000371185,0.000371185,0.000371185
58,2253.51,1.10107,1.60295,1.47767,0.79385,0.81171,0.81893,0.5553,1.19898,1.16059,1.67418,0.000362938,0.000362938,0.000362938
59,2291.32,1.14803,1.55867,1.50361,0.8444,0.78321,0.84004,0.56033,1.22283,1.21848,1.69017,0.000354691,0.000354691,0.000354691
60,2329.48,1.10319,1.55013,1.46267,0.74855,0.66489,0.74422,0.49381,1.34354,1.6115,1.8598,0.000346445,0.000346445,0.000346445
61,2367.09,1.10563,1.62908,1.4982,0.90628,0.76436,0.84738,0.57543,1.18986,1.10782,1.67804,0.000338198,0.000338198,0.000338198
62,2405.2,1.07795,1.51875,1.45578,0.7767,0.69651,0.76073,0.5296,1.26132,1.35685,1.74449,0.000329951,0.000329951,0.000329951
63,2442.85,1.05762,1.57111,1.45226,0.7964,0.7353,0.81358,0.55126,1.29932,1.31693,1.83375,0.000321705,0.000321705,0.000321705
64,2480.94,1.05375,1.54172,1.45671,0.80848,0.81596,0.83491,0.56053,1.21978,1.12735,1.75336,0.000313458,0.000313458,0.000313458
65,2518.7,1.08196,1.52023,1.44278,0.79805,0.78271,0.83953,0.55993,1.24546,1.1569,1.73072,0.000305211,0.000305211,0.000305211
66,2556.48,1.03474,1.52073,1.43136,0.73452,0.71441,0.76354,0.48022,1.31128,1.37645,1.83395,0.000296964,0.000296964,0.000296964
67,2594.56,1.04344,1.50153,1.43063,0.88109,0.79993,0.87311,0.57991,1.25413,1.13282,1.74813,0.000288718,0.000288718,0.000288718
68,2632.82,1.0207,1.57635,1.38448,0.84679,0.7645,0.84876,0.5807,1.19261,1.17582,1.68215,0.000280471,0.000280471,0.000280471
69,2670.15,1.00406,1.47973,1.41039,0.88135,0.78434,0.8716,0.58933,1.20286,1.13431,1.69905,0.000272224,0.000272224,0.000272224
70,2708.41,1.01157,1.47796,1.41642,0.84087,0.8063,0.84908,0.58481,1.21797,1.13933,1.73342,0.000263978,0.000263978,0.000263978
71,2745.92,1.04701,1.51624,1.42631,0.84919,0.78045,0.84888,0.59187,1.20654,1.2322,1.69693,0.000255731,0.000255731,0.000255731
72,2784.53,1.0234,1.52776,1.40898,0.8112,0.80785,0.8601,0.58499,1.20559,1.12284,1.75442,0.000247484,0.000247484,0.000247484
73,2822.23,1.02966,1.46139,1.40718,0.84718,0.79813,0.85008,0.58937,1.16154,1.09797,1.68555,0.000239238,0.000239238,0.000239238
74,2859.75,1.0162,1.66922,1.41508,0.84723,0.78314,0.85084,0.55498,1.22165,1.21908,1.71022,0.000230991,0.000230991,0.000230991
75,2897.75,1.02424,1.43146,1.4037,0.88768,0.79779,0.85428,0.56733,1.20754,1.08797,1.71856,0.000222744,0.000222744,0.000222744
76,2935.9,0.99728,1.47706,1.40284,0.84491,0.77016,0.84512,0.59212,1.16732,1.15123,1.69534,0.000214497,0.000214497,0.000214497
77,2974.37,0.99193,1.46167,1.38799,0.81985,0.72548,0.80855,0.54957,1.21952,1.12727,1.7344,0.000206251,0.000206251,0.000206251
78,3012.44,1.00049,1.50711,1.41618,0.85108,0.78654,0.84202,0.58141,1.21053,1.18513,1.73801,0.000198004,0.000198004,0.000198004
79,3050.73,0.98886,1.43538,1.3962,0.85722,0.83186,0.85785,0.58355,1.19969,1.06328,1.71014,0.000189757,0.000189757,0.000189757
80,3088.72,0.9752,1.40443,1.37329,0.8674,0.78269,0.86005,0.56877,1.23578,1.12189,1.73014,0.000181511,0.000181511,0.000181511
81,3127.06,0.97498,1.41805,1.37171,0.88136,0.80763,0.87427,0.5854,1.19571,1.02066,1.70304,0.000173264,0.000173264,0.000173264
82,3164.79,0.95226,1.39821,1.3526,0.82881,0.81439,0.85624,0.58165,1.16919,1.05173,1.69748,0.000165017,0.000165017,0.000165017
83,3202.76,0.94807,1.39496,1.38314,0.8395,0.8071,0.87249,0.57959,1.16991,1.00457,1.68333,0.000156771,0.000156771,0.000156771
84,3240.29,0.93441,1.39545,1.3327,0.8257,0.80451,0.85177,0.56868,1.1771,1.07062,1.67418,0.000148524,0.000148524,0.000148524
85,3277.95,0.94787,1.43044,1.35902,0.8788,0.80778,0.86979,0.5862,1.18192,1.06267,1.68895,0.000140277,0.000140277,0.000140277
86,3315.8,0.96378,1.39881,1.3652,0.88708,0.82466,0.87552,0.57413,1.18475,1.07407,1.71187,0.000132031,0.000132031,0.000132031
87,3352.93,0.93261,1.39109,1.32766,0.86802,0.80659,0.85511,0.58152,1.18301,1.09136,1.71485,0.000123784,0.000123784,0.000123784
88,3390.79,0.92078,1.40758,1.35193,0.8848,0.81438,0.86292,0.59586,1.17377,1.07377,1.7168,0.000115537,0.000115537,0.000115537
89,3428.52,0.85106,1.33735,1.29746,0.89828,0.80563,0.86834,0.59459,1.14573,1.07818,1.69744,0.00010729,0.00010729,0.00010729
90,3465.98,0.89981,1.41677,1.33123,0.91374,0.79793,0.88063,0.61278,1.13941,1.08953,1.69299,9.90437e-05,9.90437e-05,9.90437e-05
91,3502.93,0.83349,1.97158,1.29197,0.90148,0.77956,0.85888,0.59586,1.16328,1.21144,1.72317,9.0797e-05,9.0797e-05,9.0797e-05
92,3539.97,0.8397,1.39771,1.29413,0.86329,0.80991,0.85338,0.57599,1.20153,1.23912,1.74941,8.25503e-05,8.25503e-05,8.25503e-05
93,3576.52,0.79315,1.50534,1.26969,0.89206,0.83214,0.86748,0.60536,1.15966,1.17651,1.71556,7.43036e-05,7.43036e-05,7.43036e-05
94,3613.02,0.77535,1.52006,1.25491,0.91556,0.81748,0.86512,0.60136,1.16136,1.20825,1.70301,6.60569e-05,6.60569e-05,6.60569e-05
95,3650.18,0.78949,1.36464,1.26873,0.88516,0.81749,0.87133,0.60604,1.1501,1.17339,1.68984,5.78102e-05,5.78102e-05,5.78102e-05
96,3686.88,0.76317,1.4606,1.24144,0.88778,0.8283,0.87393,0.5964,1.18596,1.17973,1.72226,4.95635e-05,4.95635e-05,4.95635e-05
97,3723.82,0.77789,1.33428,1.2459,0.90451,0.84326,0.8998,0.61194,1.17502,1.16782,1.70544,4.13168e-05,4.13168e-05,4.13168e-05
98,3760.66,0.81379,1.34282,1.30676,0.91785,0.83789,0.89305,0.60379,1.17549,1.15415,1.71897,3.30701e-05,3.30701e-05,3.30701e-05
99,3797.67,0.75399,1.49131,1.23133,0.91125,0.81924,0.88265,0.59621,1.20031,1.15216,1.7397,2.48234e-05,2.48234e-05,2.48234e-05
100,3834.41,0.74689,1.46135,1.23413,0.89664,0.83071,0.88171,0.60976,1.20151,1.15102,1.74057,1.65767e-05,1.65767e-05,1.65767e-05
