epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9695,1.50436,3.77978,1.75758,0.35348,0.40871,0.3643,0.19565,2.09104,2.80826,2.61336,0.000274997,0.000274997,0.000274997
2,83.2709,1.73667,3.09536,1.95635,0.53385,0.2665,0.24093,0.14147,2.25679,2.67669,3.29894,0.000547192,0.000547192,0.000547192
3,122.266,1.84192,3.1002,2.06151,0.19871,0.42329,0.29344,0.14872,2.12534,3.67083,3.11332,0.00081389,0.00081389,0.00081389
4,160.969,1.93961,3.02449,2.13801,0.35444,0.3467,0.25115,0.12693,1.99654,3.46207,2.62387,0.00080826,0.00080826,0.00080826
5,199.925,1.90978,3.05078,2.12939,0.56061,0.51028,0.41423,0.22924,1.95686,2.60849,2.60164,0.000800013,0.000800013,0.000800013
6,239.439,1.83084,2.82514,2.09284,0.44539,0.43425,0.39821,0.21855,1.96291,2.31933,2.56552,0.000791767,0.000791767,0.000791767
7,278.589,1.80109,2.80046,2.06442,0.6992,0.39022,0.48034,0.28537,1.75163,2.1447,2.32743,0.00078352,0.00078352,0.00078352
8,317.644,1.70591,2.65812,1.96917,0.50836,0.49837,0.48391,0.28214,1.702,2.32545,2.31177,0.000775273,0.000775273,0.000775273
9,357.425,1.71503,2.70979,1.98691,0.61466,0.39351,0.48812,0.28825,1.62064,2.14706,2.16327,0.000767026,0.000767026,0.000767026
10,396.611,1.69901,2.53449,1.96528,0.47508,0.52612,0.57255,0.35229,1.64684,1.85735,2.11091,0.00075878,0.00075878,0.00075878
11,435.833,1.6494,2.468,1.93257,0.49108,0.51973,0.54501,0.31178,1.63462,1.9483,2.13045,0.000750533,0.000750533,0.000750533
12,474.817,1.59115,2.32372,1.88,0.66178,0.46025,0.57484,0.34076,1.70683,1.94995,2.16346,0.000742286,0.000742286,0.000742286
13,513.618,1.56029,2.3211,1.8601,0.79862,0.43885,0.57717,0.34558,1.6905,1.86667,2.20939,0.00073404,0.00073404,0.00073404
14,552.33,1.54487,2.28784,1.86034,0.52848,0.62067,0.57261,0.35339,1.49854,1.84194,2.00142,0.000725793,0.000725793,0.000725793
15,591.455,1.55114,2.21172,1.84008,0.62185,0.6792,0.64423,0.36854,1.514,1.73194,2.02444,0.000717546,0.000717546,0.000717546
16,631.018,1.52976,2.22366,1.83116,0.64589,0.58608,0.64364,0.37137,1.50455,1.81409,1.99235,0.000709299,0.000709299,0.000709299
17,670.379,1.53577,2.24466,1.84012,0.76239,0.5579,0.66702,0.40681,1.53043,1.72372,2.12372,0.000701053,0.000701053,0.000701053
18,709.003,1.4608,2.1423,1.76763,0.79471,0.60477,0.6457,0.40898,1.53677,1.65355,2.02361,0.000692806,0.000692806,0.000692806
19,747.677,1.48698,2.12639,1.78766,0.69685,0.69465,0.69688,0.42448,1.57678,1.67404,2.04148,0.000684559,0.000684559,0.000684559
20,786.637,1.44671,2.12414,1.75456,0.66384,0.61958,0.64495,0.41687,1.47925,1.67727,2.02408,0.000676313,0.000676313,0.000676313
21,825.283,1.37945,2.03644,1.70762,0.6819,0.64729,0.63933,0.42591,1.40324,1.70139,1.88771,0.000668066,0.000668066,0.000668066
22,864.572,1.45966,2.0539,1.78086,0.60186,0.66304,0.68318,0.42857,1.48268,1.63469,2.00698,0.000659819,0.000659819,0.000659819
23,903.668,1.43215,1.99688,1.76118,0.68098,0.67833,0.7055,0.46168,1.3895,1.54404,1.90821,0.000651573,0.000651573,0.000651573
24,942.717,1.34145,1.96768,1.66834,0.61521,0.69589,0.68636,0.4382,1.39681,1.67305,1.89178,0.000643326,0.000643326,0.000643326
25,981.645,1.38762,2.04331,1.71466,0.68924,0.65085,0.65461,0.43291,1.46286,1.67168,1.95783,0.000635079,0.000635079,0.000635079
26,1020.49,1.411,1.99731,1.71733,0.67881,0.63725,0.73847,0.47334,1.40143,1.44995,1.88961,0.000626832,0.000626832,0.000626832
27,1060.71,1.34645,1.92161,1.67409,0.69351,0.69196,0.67253,0.41478,1.47573,1.66881,1.99145,0.000618586,0.000618586,0.000618586
28,1100.74,1.36564,1.94335,1.68663,0.68714,0.63713,0.68622,0.4452,1.44826,1.71489,1.98421,0.000610339,0.000610339,0.000610339
29,1141.09,1.33105,1.89385,1.66746,0.6591,0.63617,0.66621,0.44142,1.45333,1.60615,2.01912,0.000602092,0.000602092,0.000602092
30,1180.1,1.37515,1.91979,1.68722,0.67387,0.68761,0.7272,0.45784,1.44507,1.5847,1.91821,0.000593846,0.000593846,0.000593846
31,1218.54,1.32576,1.89304,1.67913,0.7133,0.66262,0.64963,0.39845,1.52009,1.65783,2.01035,0.000585599,0.000585599,0.000585599
32,1257.53,1.33556,1.84709,1.64724,0.69815,0.74276,0.74664,0.50751,1.29753,1.36108,1.82465,0.000577352,0.000577352,0.000577352
33,1296.98,1.35514,1.85468,1.67751,0.58907,0.7453,0.69694,0.45461,1.32764,1.44897,1.82393,0.000569106,0.000569106,0.000569106
34,1336.27,1.28556,1.87464,1.67459,0.69882,0.53529,0.55345,0.30919,1.63012,1.8643,2.10631,0.000560859,0.000560859,0.000560859
35,1375.82,1.29646,1.85235,1.6463,0.76741,0.6887,0.7789,0.5062,1.40088,1.34154,1.90976,0.000552612,0.000552612,0.000552612
36,1415.69,1.23565,1.80464,1.60033,0.78726,0.71203,0.78192,0.52231,1.36277,1.42972,1.8777,0.000544365,0.000544365,0.000544365
37,1454.54,1.26835,1.78172,1.6246,0.8122,0.6829,0.72285,0.47054,1.31194,1.4524,1.79378,0.000536119,0.000536119,0.000536119
38,1493.27,1.23994,1.70771,1.58704,0.71839,0.74722,0.75976,0.50471,1.33436,1.33822,1.86931,0.000527872,0.000527872,0.000527872
39,1532.52,1.24331,1.76472,1.58353,0.77657,0.76342,0.7671,0.4987,1.41433,1.35843,1.8879,0.000519625,0.000519625,0.000519625
40,1571.02,1.21512,1.71729,1.54173,0.84073,0.71273,0.78693,0.50392,1.3994,1.31054,1.85842,0.000511379,0.000511379,0.000511379
